Product ID,Product Name,Description,Category,Brand,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Option4 Name,Option4 Value,SKU/Product Code,Weight,Inventory Tracking,Stock Status,Stock,Price,List Price,Cost,Shipping Price,Warranty,Product URL,Image,Meta Title,Meta Description,Web Link,New Arrival,Featured,Active,
"2651799","ASUS ROG Gladius III Core Wired Ergonomic Gaming Mouse (P523 ROG GLADIUS III CORE)","An ROG classic refined for everyday gaming, the Gladius III Core retains the signature asymmetrical Gladius shape while adding Push-Fit Switch Sockets for hot-swappable mechanical switches. A precise 12,000 dpi sensor, ROG Micro Switch II buttons rated for 100 million clicks, and a comfortable 72-gram build make it a smart, accessible choice for home setups and gaming stations alike.","Gaming Peripherals > Gaming Mouse","ASUS",,,,,,,,,,"0.07","No","In Stock","0","11800.00",,"0.00","0.00",,"/asus-rog-gladius-iii-core-wired-ergonomic-gaming-mouse-p523-rog-gladius-iii-core","https://static3.webx.pk/files/91598/Images/5f137d28-7b77-4434-a888-96bd5f03cb90-91598-2651799-010826061842707.webp","ASUS ROG Gladius III Core Wired Gaming Mouse P523","Buy ASUS ROG Gladius III Core mouse at GB Tec — 12,000 dpi, hot-swappable switches, 72g ergonomic design. Nationwide delivery across Pakistan.",,"N","N","Y",
"2651799",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-2-91598-0-010826061709111.webp",,,,,,,
"2651799",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-4-91598-0-010826061711093.webp",,,,,,,
"2651799",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-91598-0-010826061713892.webp",,,,,,,
"2651799",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-3-91598-0-010826061721804.webp",,,,,,,
"2651799",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-1-91598-0-010826061723604.webp",,,,,,,
"2651803","ASUS ROG Gladius III Wireless AimPoint Gaming Mouse — Black (P711 ROG GIII WL AIMPOINT/BLACK)","A flagship wireless mouse in the renowned asymmetrical Gladius silhouette, the Gladius III Wireless AimPoint pairs a class-leading 36,000 dpi ROG AimPoint sensor with a 0ms-latency pivoted button mechanism, officially verified for NVIDIA Reflex Latency Analyzer. Tri-mode connectivity — 2.4GHz RF, Bluetooth (up to 3 devices), or wired USB — gives up to 143 hours of battery life in Bluetooth mode, while a lightweight 79-gram build keeps arm fatigue at bay through the longest gaming sessions.","Gaming Peripherals > Gaming Mouse","ASUS",,,,,,,,,,"0.08","No","In Stock","0","27000.00",,"0.00","0.00",,"/asus-rog-gladius-iii-wireless-aimpoint-gaming-mouse-black-p711-rog-giii-wl-aimpointblack","https://static3.webx.pk/files/91598/Images/asus-rog-gladius-iii-wireless-aimpoint-gaming-mouse-91598-2651803-010826063741506.webp","ASUS ROG Gladius III Wireless AimPoint Mouse P711","Buy ASUS ROG Gladius III Wireless AimPoint mouse at GB Tec — 36,000 dpi, tri-mode connectivity, up to 143hr battery. Nationwide delivery across Pakistan.",,"N","N","Y",
"2651803",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-2-91598-0-010826063525488.webp",,,,,,,
"2651803",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-3-91598-0-010826063525556.webp",,,,,,,
"2651803",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-91598-0-010826063526911.webp",,,,,,,
"2651805","ASUS ROG Harpe Ace Aim Lab Edition Wireless Gaming Mouse — Black (P713 ROG HARPE ACE AIM LAB EDITION/BLACK)","Born from a collaboration between ROG and Aim Lab, the Harpe Ace Aim Lab Edition is an ultralight 54-gram esports mouse engineered with input from world-record aimers and top esports professionals. Its bio-based nylon construction, 36,000 dpi ROG AimPoint sensor, and exclusive Aim Lab Settings Optimizer — which analyzes your play style to tailor mouse settings — combine to give competitive and aspiring gamers a genuine performance edge.","Gaming Peripherals > Gaming Mouse","ASUS",,,,,,,,,,"0.05","No","In Stock","0","29500.00",,"0.00","0.00",,"/asus-rog-harpe-ace-aim-lab-edition-wireless-gaming-mouse-black-p713-rog-harpe-ace-aim-lab-edition","https://static3.webx.pk/files/91598/Images/asus-rog-harpe-ace-aim-lab-edition-wireless-gaming-mouse-91598-2651805-010826064556905.webp","ASUS ROG Harpe Ace Aim Lab Edition Mouse P713","Buy ASUS ROG Harpe Ace Aim Lab Edition mouse at GB Tec — 54g ultralight, 36,000 dpi, Aim Lab optimizer, tri-mode. Nationwide delivery across Pakistan.",,"N","N","Y",
"2651805",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-5-91598-0-010826063922284.webp",,,,,,,
"2651805",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-4-91598-0-010826063922092.webp",,,,,,,
"2651805",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-1-91598-0-010826063923942.webp",,,,,,,
"2651805",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-91598-2651805-010826064618247.webp",,,,,,,
"2651867","ASUS ROG Harpe Ace Mini Wireless Gaming Mouse — Black (P716 ROG HARPE ACE MINI/BLACK)","A refined, smaller take on the pro-approved Harpe Ace, the Harpe Ace Mini shortens the length and shallows the hump to fit a wider range of hand sizes and grip styles. At just 49 grams, its innovative bio-based nylon shell pairs with a 42,000 dpi ROG AimPoint Pro sensor and support for up to 8,000 Hz polling (with the included ROG Polling Rate Booster), giving competitive gamers pro-tier precision in a genuinely compact frame.","Gaming Peripherals > Gaming Mouse","ASUS",,,,,,,,,,"0.05","No","In Stock","0","35000.00",,"0.00","0.00",,"/asus-rog-harpe-ace-mini-wireless-gaming-mouse-black-p716-rog-harpe-ace-miniblack","https://static3.webx.pk/files/91598/Images/asus-rog-harpe-ace-mini-wireless-gaming-mouse-p716-91598-2651867-010826100516907.webp","ASUS ROG Harpe Ace Mini Wireless Gaming Mouse P716","Buy ASUS ROG Harpe Ace Mini mouse at GB Tec — 42,000 dpi, 49g ultralight, tri-mode wireless, 8000Hz polling. Nationwide delivery across Pakistan.",,"N","N","Y",
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-3-91598-0-010826100335504.webp",,,,,,,
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-2-91598-0-010826100335362.webp",,,,,,,
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-4-91598-0-010826100335388.webp",,,,,,,
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-91598-0-010826100337209.webp",,,,,,,
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-5-91598-0-010826100337114.webp",,,,,,,
"2651867",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-1-91598-0-010826100337037.webp",,,,,,,
"2651871","ASUS ROG Harpe II Ace Wireless Gaming Mouse (P723 ROG HARPE II ACE)","Shaped in collaboration with world-class esports professionals (including pro VALORANT player Demon1), the Harpe II Ace is an ultralight 48-gram wireless mouse built for absolute precision. It's the first ROG mouse with native ROG SpeedNova 8K wireless technology — delivering true 8,000 Hz polling with no booster required — paired with a 42,000 dpi ROG AimPoint Pro sensor for tournament-grade responsiveness straight out of the box.","Gaming Peripherals > Gaming Mouse","ASUS",,,,,,,,,,"0.05","No","In Stock","0","35000.00",,"0.00","0.00",,"/asus-rog-harpe-ii-ace-wireless-gaming-mouse-p723-rog-harpe-ii-ace","https://static3.webx.pk/files/91598/Images/rog-harpe-ace-mini-blue-1200x1200-2-91598-2651871-010826103536783.webp","ASUS ROG Harpe II Ace Wireless Gaming Mouse P723","Buy ASUS ROG Harpe II Ace mouse at GB Tec — native 8000Hz wireless, 48g ultralight, 42,000 dpi AimPoint Pro. Nationwide delivery across Pakistan.",,"N","N","Y",
"2651871",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-2-91598-0-010826103022085.webp",,,,,,,
"2651871",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-3-91598-0-010826103021959.webp",,,,,,,
"2651871",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-4-91598-0-010826103022362.webp",,,,,,,
"2651871",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-91598-0-010826103023837.webp",,,,,,,
"2651871",,,,,,,,,,,,,,,,,,,,,,,,"https://static3.webx.pk/files/91598/Images/h732-1-91598-0-010826103023590.webp",,,,,,,
